cui,name
54760,COMPANIA DE APA ORADEA SA
63483,ORADEA TRANSPORT LOCAL SA
73452,REGIA AUTONOMA AEROPORTUL ORADEA
199206,CLUJANA SA
201195,COMPANIA DE TRANSPORT PUBLIC CLUJ NAPOCA S.A.
201217,COMPANIA DE APA SOMES SA
201233,REGIA AUTONOMA A DOMENIULUI PUBLIC CLUJ NAPOCA RA
201250,DOMENIUL PUBLIC TURDA SA
201330,TERMOFICARE NAPOCA S.A.
201357,TRANSURB SA
202344,TRANSIM SA
227969,ADMINISTRAREA DOMENIULUI PUBLIC GHERLA SA
257293,UNIVERS T SA
338819,SOCIETATEA COMERCIALA STUDIOUL CINEMATOGRAFIC ANIMAFILM SA
340312,IOR SA
360557,EUROTEST SA
361358,CRIZANTEMA COM SA
427282,MONITORUL OFICIAL RA
427410,COMPANIA NATIONALA POSTA ROMANA SA
457747,IPROCHIM SA
459853,INSTITUTUL DE CERCETARI METALURGICE SA
472771,ROMTEHNICA RA
477647,COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM SA
496401,AGROPRODCOM LAZAREA SA
524277,AGROPRODCOM ODORHEIU SECUIESC SA
555397,MULTI-TRANS SA
566787,AQUABIS SA
642787,AEROPORTUL SATU MARE RA
713454,AEROPORTUL ŞTEFAN CEL MARE SUCEAVA RA
713519,ACET SA
789401,TURSIB SA
938970,REGIA AUTONOMA PENTRU PRODUCTIA DE TEHNICA MILITARA  UZINA AUTOMECANICA MORENI SUCURSALA
1074251,AGROMEC MOLDOVA NOUA SA
1096128,COMPANIA APA BRASOV SA
1102556,RATBV S.A.
1107650,RIAL SRL
1129209,SERVICII SĂCELENE SRL
1132930,IAR SA
1154822,PIETE TIRGURI SI OBOARE SA
1219301,TRANSPORT LOCAL SA
1225869,APĂ TERMIC TRANSPORT SA
1234735,RAGCL SA
1284717,COMPANIA NATIONALA ADMINISTRATIA PORTURILOR DUNARII FLUVIALE SA
1343872,REGIA AUTONOMĂ DE SERVICII PUBLICE PLOIEŞTI RA
1350020,CONPET SA
1355770,TRANSPORT CĂLĂTORI EXPRESS S.A.
1356295,HALE SI PIETE SA
1384767,COMALEX SA
1443170,COMPANIA DE UTILITATI PUBLICE SA
1458627,ILGO S.R.L.
1517006,LOCTRANS SA
1573170,BIROUL DE TURISM PENTRU TINERET (B.T.T.) SA
1576401,ROMAERO SA
1589886,SOCIETATEA DE TRANSPORT BUCUREŞTI STB S.A.
1589932,ADMINISTRATIA ROMANA A SERVICIILOR DE TRAFIC AERIAN ROMATSA RA
1589983,EDITURA DIDACTICA SI PEDAGOGICA RA
1590040,SOCIETATEA NATIONALA A APELOR MINERALE SA
1590090,REGIA GENERALA DE APA BUCURESTI RA
1590120,REGIA NATIONALA A PADURILOR ROMSILVA RA
1590236,REGISTRUL AUTO ROMAN RA
1590430,REGIA AUTONOMA A SARII RA
1605884,SECOM SA
1644670,REGIA AUTONOMĂ ”ADMINISTRAȚIA FLUVIALĂ A DUNĂRII DE JOS” GALAȚI
1680258,GOSPODARIREA COMUNALA ARAD SA
1683483,COMPANIA DE APĂ ARAD SA
1708600,COMPANIA DE TRANSPORT PUBLIC SA
1755482,APA-CTTA SA
1769224,COMPANIA NAŢIONALĂ ROMARM S.A. BUCUREŞTI FILIALA SOCIETATEA UZINA MECANICĂ CUGIR S.A.
1816890,HORTICULTURA SA
1875349,CONFORT URBAN SRL
1883902,CT BUS S.A.
1890420,RAJA SA
1890659,MAMAIA SA
1923799,PISCICOLA CALARASI S.A.
1959768,APAVITAL SA
1960487,TRIMEC SA
1973096,ANTIBIOTICE SA
1973568,RECONS SA
2117946,COMPANIA NATIONALA A CUPRULUI AURULUI SI FIERULUI 'MINVEST' SA
2315129,R.A.T. SRL
2326144,AVIOANE CRAIOVA SA
2351555,ADMINISTRATIA PATRIMONIULUI PROTOCOLULUI DE STAT RA
2410163,OIL TERMINAL SA
2413593,SANTIERUL NAVAL 2 MAI SA
2423562,NEPTUN-OLIMP SA
2487361,PIETE SA
2490570,SOCIETATEA DE TRANSPORT PUBLIC TIMISOARA S.A.
2507922,TRANSPORT MIXT FAGETEANA SA
2509478,ROMSTRAND SA
2563140,SERVICII COMUNALE SA
2577146,AEROPORTUL INTERNAŢIONAL SIBIU RA
2647128,"REGIA AUTONOMĂ AEROPORTUL ""DELTA DUNĂRII"" TULCEA RA"
2653243,DRUMURI ŞI PODURI SA
2684932,URBANA SA
2684940,APĂ CANAL SIBIU S.A.
2746784,ADMINISTRATIA FONDULUI IMOBILIAR S.R.L.
2779625,IMPRIMERIA NATIONALA RA
2882425,AEROPORTUL INTERNAȚIONAL AVRAM IANCU CLUJ RA
2944544,AEROPORTUL INTERNAŢIONAL MARAMUREŞ RA
2978636,RA RATMIL UZINA MECANICA MIJA SUCURSALA
3041480,AQUATIM SA
3053425,ADMINISTRATIA ZONEI LIBERE SULINA RA
3180070,"SOCIETATEA COMERCIALA ""ARSENAL"" FILIALA COMPANIEI NATIONALE ""ROMARM"" SA SUCURSALA DRAGOMIRESTI"
3186960,ACTIVITATEA GOSCOM SA
3286536,DRUMURI MUNICIPALE TIMISOARA SA
3730549,"INSTITUTUL DE CERCETARE STIINTIFICA, INGINERIE TEHNOLOGICA SI PROIECTARE MINE PE LIGNIT SA"
4145349,DRUPO NEAMT SA
4276000,AEROPORTUL TG.MURES RA
4278841,"AEROPORTUL INTERNAŢIONAL ""GEORGE ENESCU"" BACĂU RA"
4282451,INSTITUTUL DE CERCETARI IN TRANSPORTURI INCERTRANS SA
