cui,natcode
4562923,1017
4613636,1213
4563007,1348
4331201,1874
4905592,1151
4561898,2915
4331112,1455
5146873,1696
4563228,1794
4561960,8096
4331031,1936
4562362,2130
4562230,2309
4562419,2381
4905550,2577
4562257,2988
4562346,3039
4562303,3397
18866256,9026
4561979,3459
4561936,4106
4562028,3761
4562010,3805
4562079,3841
4562478,3958
4562516,1071
4562311,4008
4561944,4188
4562508,4142
16397960,9019
4562206,4240
4562265,4268
4562486,4302
4561928,4366
4562044,4482
4562494,4525
4561987,4703
4562249,4767
4562397,4927
4562524,4981
4934610,5103
4562117,5167
4561995,5210
4562435,5309
4561901,5336
4562150,5577
4562338,5700
4562214,5755
4562460,5826
4562370,6048
4561910,6119
4562400,6164
4561952,6217
4562222,6271
4650197,6397
4934601,6468
4562281,6547
4562389,6627
4562125,6592
4562060,6930
4562290,6761
4613300,6976
4562001,7044
4562141,7348
4562095,7384
4562109,7099
4562451,7197
4562354,7810
4562168,7446
4562036,7865
4562133,7945
4562184,7767
4562427,8014
4562087,8158
4562192,8229
4562176,8354
4562320,8425
4562443,8826
3519925,9262
3519283,9459
3519402,9495
3519020,9538
3519224,9574
3518822,9627
3518911,9654
3518970,9690
3519550,11584
3520121,12091
3520270,9743
3519372,9798
3520172,9832
3518989,10051
3519135,10104
3519089,9887
3520180,9930
3519127,10006
3519038,10195
3520288,10239
3518997,10293
3519003,10346
3520199,10373
3519011,10417
3519143,10453
3520253,10514
3520202,10532
3520148,10649
3520342,10701
16341489,12912
3519526,9280
3519518,10827
16341462,12920
3520237,10872
3519291,10916
3520296,10943
3520318,11174
3520300,11058
3520210,11236
3520156,11307
3519534,11352
3519542,9333
3519410,11398
3519305,11423
3520164,11478
3520113,11502
3520245,11539
3519569,11637
3519160,11664
3519313,11735
3520326,11762
3519585,12144
3519178,11842
3519577,11940
3518849,12206
3518873,11995
3518830,12037
3519348,12224
3519046,12242
3519054,12288
3519356,12340
3519321,12055
3518920,12368
3519186,12402
3519330,12126
3519593,9360
3518890,12509
3518881,12457
3519194,10765
3519208,12572
3520334,12689
3519607,12643
3519615,9397
3519216,12778
16343200,12938
3520130,12812
3519364,12849
3519623,12876
4317967,13169
4122361,13490
4121927,13622
4834769,13668
4318199,13301
4122574,13392
4229725,13757
4121978,13819
4122477,13891
4122159,13935
4318270,13999
4583950,14049
4543980,14085
4654741,14165
4122124,14272
4122396,14450
4122078,13187
4654776,14352
4122140,14405
4971987,14584
4318431,14673
5103430,14726
5172600,13276
4318326,14753
4469566,14851
4122493,14922
16414572,20063
4318288,14940
5010145,15064
5050611,15108
4971995,15233
4122043,15313
4122434,15402
4121960,15448
4121943,15493
4122094,15554
4318369,15652
4122051,15741
4318296,15830
4469469,15901
4318377,15983
4122108,16132
5010200,16329
5010129,16365
4122531,16285
4469477,16427
4971960,16454
4543956,16506
4122442,16472
4122523,16551
4122388,16613
4122566,16659
4469434,16739
4971979,16757
4318423,16908
4122400,16944
4122086,17049
4122582,13365
4122060,17101
4318474,17209
4122540,17254
4122507,17334
5010137,17398
4122116,17423
5010153,17496
5010170,17575
4318318,17619
5103457,17726
4469442,17771
5103449,17824
4469450,17851
4122418,18028
4654733,17913
4122515,17968
4469418,18162
4654768,18242
15626402,20048
4972001,18331
4469426,18411
4469515,18475
4122450,18527
4122027,18554
5050565,18581
4122469,18670
4544013,18741
4122558,18778
4318393,19114
4122426,18858
4469493,18938
5050557,19141
4469523,19007
4469531,19212
4121951,19249
4971944,19338
5010161,19392
4654750,19560
4122035,19631
4121986,19695
5010196,13524
5050573,19793
4122132,19999
15911360,20055
4278337,20297
4591490,20876
4353250,20563
4535953,20778
4353269,20821
4352921,22166
4278442,20910
4278620,20965
5002983,21007
4455528,21098
4277943,21123
4278027,21196
4277994,21454
4455560,21249
4353005,21338
4455480,21418
4834777,21506
4352948,21560
4352751,21597
17580999,26338
4455013,21668
4455293,21757
4352964,21720
4455536,21855
4670194,21891
4278396,21971
4353110,22059
4535848,22111
4352913,22237
4278116,22380
4670178,22460
4591589,22488
4455030,22576
4455307,22665
4455617,22781
4277870,22718
17560568,26346
4352972,22834
4278108,20607
4535821,22898
4352832,20313
4455145,22941
4353196,23047
17926210,26379
4670224,23127
4455021,20359
4535899,23207
4278132,23289
4535910,23350
4353099,23387
4455080,20411
4352980,23449
4591627,20466
4591511,23494
4535740,23644
4353234,23715
17538358,26353
4455234,23797
4455501,23868
4455447,23948
4278019,23975
4455552,24187
4535902,24034
4277862,24276
4352905,24089
4455498,24338
4591520,24427
4535880,24524
4278183,24631
17538340,26361
4670330,24766
4535864,24837
4455226,24711
4535872,24999
4278299,25148
16360499,26320
4353161,25068
4455595,25228
4535813,25291
4455188,25362
4353102,25488
4670216,25521
4278345,20670
4278086,25629
4455250,25692
4277854,25825
4353021,25745
4455218,25861
4670240,25932
4352700,26029
4277951,26083
4455170,26118
4277935,26289
4230487,26564
4794567,26804
4348947,26877
4593423,26975
4348920,26699
4687200,26920
4593474,30915
4539114,26840
4650570,32027
4969090,27007
4935178,27070
5431691,27169
4660727,26742
4390488,27212
4794591,27285
5431683,27329
4738419,27383
4820305,27436
5355683,27506
4687250,27560
4390526,27631
4738400,27686
4906059,27757
5431667,27846
5431713,27908
4856015,27935
4558698,27971
5518519,28077
4820313,28709
5543628,28139
5003580,28193
4820275,28246
4784210,28335
4390518,28415
5722747,28497
5398331,28530
4820291,28610
4641300,28665
4856058,28763
4883974,28816
4839987,28889
4650588,28941
4856066,29001
5316498,29038
4820283,29092
5628791,29154
5431675,29243
4784202,29341
5518527,29403
16132288,32195
4883966,29467
4660743,29519
5398374,29573
4349020,29662
4935208,29724
4660751,29813
5431721,29760
4411300,29902
4935186,29948
5398366,30014
4687234,30069
4454999,30149
4794613,30229
4641288,30274
15304644,32161
4641326,30336
5398323,30416
4539122,30470
5398340,30568
4454980,30648
4577223,30719
4935194,30773
5460832,30844
15579483,32187
4784296,30871
4784300,30988
4641318,31011
4577231,31057
4641296,26582
15651970,32179
4794583,26653
4784270,31128
4948305,31333
4454964,31379
4454972,31422
4755452,31208
4784199,31510
5431705,31262
15297903,32153
4784164,31609
5199045,31565
4784237,31654
4705942,31878
4820321,31716
4794605,31789
23259072,32201
5149128,31841
4784172,31921
4784180,31976
4650600,32090
4784229,32045
4347569,32394
4548821,32483
4347887,32544
4347321,32599
4347437,32633
4347402,32660
4347348,32704
4512399,32768
4512364,32811
4347364,32884
4730580,33015
4426999,33122
17581650,179953
4512372,32955
4730571,33177
4426980,33202
15050988,179686
4427048,33248
4426964,33275
4512283,33337
4427030,33364
4347429,33382
4427064,33435
4512275,33514
4347445,33541
4730598,33603
4512291,33729
4512305,33621
4426948,33765
4427056,33658
4427080,33845
4427099,33881
4347356,33952
15128955,179659
4512259,33989
4427005,34075
4512240,34155
4512330,34173
15606693,179720
4347410,34235
4980110,34262
4347380,34280
4512321,34333
4512232,34360
17581668,179944
4347399,34397
4427072,34477
4512313,34618
4426956,34645
4426972,34690
4427021,34770
4347372,34850
4512410,34422
4427013,34903
4512348,34547
4512356,35152
4548899,34985
4512267,35054
4427102,35090
4512380,35269
4512402,35312
4730563,35429
3372882,35731
4112945,36006
3643876,36453
3372017,35946
3372173,37280
3372050,36060
3373403,39168
18382485,40035
3373519,36131
3571591,36202
3433890,36300
16406308,39983
3503694,36373
4524946,36426
3373454,36499
15676397,39967
3643892,36532
3372190,36569
8613981,36649
4524920,36676
3748503,36756
15676400,39975
3372157,36809
3672057,36907
8613973,36952
3433866,35759
3373535,37057
3503660,37011
15676370,39959
3373543,37100
3503635,37173
3373420,37217
3373322,37324
8613990,37397
3373527,37459
3571613,37618
3643884,37547
4524938,37672
3373365,37734
3672022,37770
3372165,37823
3372130,37850
15676389,39942
3373390,37912
3643906,37958
3503600,38063
3672006,38161
3373462,38241
3571567,38321
3503643,38376
3372122,38456
3571559,38492
3503678,38544
3373330,38580
3372106,35839
3503651,38633
3373373,38679
3571605,38731
3372114,38811
3373438,38848
3373446,38893
3571575,39122
3372084,35884
3643922,39220
3433912,38982
3373357,39051
